Name,Elo,Wins,Losses,MatchesPlayed
Sherwood D.,500,1,1,2
Pospisil J.,470,1,7,8
Oudsema S.,485,1,4,5
Wilson B.,485,1,4,5
Korteling S.,495,0,1,1
Thron A.,490,0,2,2
Berlocq C.,225,120,175,295
Cilic M.,1585,533,316,849
Bozoljac I.,455,8,17,25
Chadaj A.,500,1,1,2
Smeets R.,465,1,8,9
Simmonds P.,485,0,3,3
Clayton A.,495,0,1,1
Bester P.,475,0,5,5
Steckley R.,495,0,1,1
Gregorc L.,495,6,7,13
Wang Y. Jr,500,1,1,2
Matsui T.,500,2,2,4
Crivoi V.,420,12,28,40
Fruttero J.P.,495,0,1,1
Chen T.,485,0,3,3
Do M.Q.,495,0,1,1
Soeda G.,265,29,76,105
Naso G.,455,2,11,13
Sanchez de Luna J.A.,495,0,1,1
Fognini F.,600,385,365,750
Ittogi T.,495,0,1,1
Kirillov E.,490,0,2,2
Ledovskikh M.,455,3,12,15
Eitzinger R.,485,3,6,9
Lorenzi P.,120,101,177,278
Junaid R.,490,0,2,2
Uppal V.,495,0,1,1
Sultan-Khalfan A.,495,0,1,1
King-Turner D.,470,0,6,6
Istomin D.,285,185,228,413
Adaktusson J.,495,0,1,1
Del Potro J.M.,1730,399,153,552
Aguilar J.,485,1,4,5
Korolev E.,405,67,86,153
Sidorenko A.,480,4,8,12
Querry S.,485,2,5,7
Warburg S.,470,4,10,14
Ghem A.,485,2,5,7
Van der Dium A.,495,0,1,1
Meffert D.,480,4,8,12
Gonzalez S.,470,1,7,8
Witten J.,470,2,8,10
Balleret B.,470,2,8,10
Granollers-Pujol M.,495,0,1,1
Salva B.,475,0,5,5
Ouahab L.,475,5,10,15
Peric T.,495,0,1,1
Chardy J.,400,278,298,576
Gil F.,410,47,65,112
Luque D.,495,0,1,1
Azzaro L.,485,0,3,3
Bolelli S.,300,108,148,256
Popp T.,490,0,2,2
Hartfield D.,440,16,28,44
Montcourt M.,470,4,10,14
Becker B.,155,144,213,357
Baker J.,435,3,16,19
