Name,Elo,Wins,Losses,MatchesPlayed
Chardy J.,607.8518465043387,278,298,576
Gil F.,538.4578407586123,47,65,112
Luque D.,484.0,0,1,1
Azzaro L.,456.8376338640454,0,3,3
Bolelli S.,601.8342729204827,108,148,256
Popp T.,473.97820999290843,0,2,2
Hartfield D.,462.5561998032714,16,28,44
Montcourt M.,482.22814761004093,4,10,14
Becker B.,465.3546324146124,144,213,357
Lee M.,483.83081352881896,1,2,3
Baker J.,404.0508823094856,3,16,19
Haase R.,532.2507544411725,197,251,448
Sirianni J.,454.55821642397353,4,11,15
Zverev M.,476.8429646723448,130,186,316
Dorsch B.,463.7487121554997,0,3,3
Stadler S.,491.77340867490375,5,10,15
Granollers M.,529.3071188615066,187,235,422
Prpic A.,482.38549857385635,0,1,1
Roshardt R.,469.32232670506625,0,2,2
Vicente M.,483.6323003377256,0,1,1
Kutac R.,482.02784453579545,0,1,1
Alves T.,407.48871577055985,7,22,29
Levine J.,473.1227001721196,28,63,91
Sijsling I.,424.3840215057425,45,84,129
Darcis S.,517.1813694266458,83,105,188
De Bakker T.,490.1650190582188,50,77,127
Querrey S.,518.9139344230388,351,303,654
Junqueira D.,399.6359530051821,10,31,41
Patriarca D.,484.0,0,1,1
Haider-Mauer A.,496.3099985014761,1,2,3
Sandbichler A.,483.7594558976335,0,1,1
Yani M.,416.4220697619805,3,13,16
Cipolla F.,416.2392942588389,29,65,94
Belic L.,461.6450889081714,0,3,3
Ianni S.,492.228110533985,0,1,1
Panfil G.,479.30302091599106,0,1,1
King P.,454.09822388786233,1,4,5
Sweeting R.,551.1908437342353,31,56,87
Dev Varman S.,453.9490349858407,0,3,3
Polansky P.,423.77263046633726,11,38,49
Hajek J.,432.85827971291684,25,64,89
Russell M.,506.26131158956446,60,102,162
Yu X.Y.,459.7810586940759,0,2,2
Wang Y.Jr.,483.263693206478,0,1,1
Dolgopolov A.,465.02782009843236,0,3,3
Aranguren J.M.,469.32116536198544,0,2,2
Smit J.,482.70377725090077,0,1,1
Moser F.,484.0,0,1,1
Auckland J.,522.4908259791855,2,1,3
Economidis K.,399.9605785395198,1,9,10
Clemens T.,503.9492844444485,2,2,4
Troicki V.,519.9660647464652,255,244,499
Chaen T.,480.96511393438334,0,1,1
Schuttler P.,481.6820638017532,0,1,1
Kravchuk K.,381.44579043910954,7,25,32
Fish A.,487.52403412494914,0,1,1
Fischer M.,346.97467011138525,2,19,21
Reister J.,422.27557758067127,13,30,43
Gulbis E.,518.985960714351,213,225,438
Robredo R.,523.4328137364718,1,2,3
Giraldo S.,464.7645457433703,133,181,314
Jun W.,488.94245684786245,0,1,1
Rosol L.,508.5100507988112,106,148,254
Lacko L.,521.1468753185701,79,131,210
Dutra Silva R.,444.45012560920475,21,57,78
Andujar P.,504.39695549415234,153,230,383
Schwank E.,495.173783008933,33,59,92
Huta Galung J.,358.92866498643326,3,25,28
Guez D.,399.6582454987761,2,16,18
Echagaray B.,458.2002316959489,0,4,4
Fornell M.,479.2090959421173,0,1,1
Gensse A.,490.513901913721,1,3,4
Ward J.,362.15573629739714,13,50,63
Stepanek M.,496.2559738651244,0,1,1
Dustov F.,440.99424060602064,0,6,6
Chaki R.,475.78775531761437,0,2,2
Sousa P.,371.9867580275073,6,27,33
Brands D.,503.63888672413196,55,93,148
Bachinger M.,583.329409864275,31,54,85
Eysseric J.,448.3020439743171,0,4,4
Recouderc L.,423.0166024586178,3,12,15
Nielsen F.,378.6348672605545,0,10,10
Koning M.,494.16611372159286,0,1,1
Guzman J.,483.68386060872405,0,1,1
Guccione A.,491.05680850897454,1,2,3
Prpic F.,450.3344687973838,2,7,9
Goransson T.,464.5862251603196,0,2,2
Tveit E.,488.5261143475643,0,1,1
Isner J.,609.6399113038415,466,285,751
Levine I.,481.6091411372098,0,1,1
Nishikori K.,760.565247297766,400,192,592
Gonzalez M.,419.53346140913953,28,57,85
Riba P.,389.4944630392853,23,54,77
Ruevski P.,483.4473876782766,0,1,1
Olejniczak D.,462.2622244206027,0,3,3
Klizan M.,542.7973719484382,121,131,252
Anderson K.,614.8203520616372,332,242,574
Cuevas P.,526.1163289534678,204,206,410
McClune M.,490.6737755926874,0,1,1
Jun W.S.,440.6702024048309,1,6,7
Gard C.,485.94248496454514,0,1,1
Lindahl N.,436.2960769080965,1,8,9
Martin D.,492.9039844576292,0,1,1
Singh N.,484.46231098362136,0,1,1
Raja P.,482.8816615074477,0,1,1
Nam H.W.,461.2383650990511,0,2,2
